dataset,view,view_role,feature,feature_class,single_feature_macro_f1,action,notes
MQTT-IoT-IDS2020,strict_audited_metadata_main,strict,iat_std,legitimate_metadata_retained,0.9635280849992311,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,strict_audited_metadata_main,strict,byte_min,legitimate_metadata_retained,0.8930827434720818,retain_in_audited_metadata_main,single-feature Macro F1 > 0.80; discriminative metadata
MQTT-IoT-IDS2020,strict_audited_metadata_main,strict,iat_min,legitimate_metadata_retained,0.9200249415252002,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,strict_audited_metadata_main,strict,byte_max,legitimate_metadata_retained,0.9902220569629134,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,strict_audited_metadata_main,strict,iat_max,legitimate_metadata_retained,0.9672616914461107,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,strict_audited_metadata_main,strict,duration,legitimate_metadata_retained,0.9672616914461107,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,strict_audited_metadata_main,strict,packets_per_second,legitimate_metadata_retained,0.9684275808748022,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,strict_audited_metadata_main,strict,bytes_per_second,legitimate_metadata_retained,0.9696483653804142,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,strict_audited_metadata_main,strict,burstiness,legitimate_metadata_retained,0.9590984690445666,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
IoT-23,full_audited_metadata_main,full,orig_ip_bytes,legitimate_metadata_retained,0.8972895248897361,retain_in_audited_metadata_main,single-feature Macro F1 > 0.80; discriminative metadata
IoT-23,full_audited_metadata_main,full,proto,suspicious_protocol_metadata_retained,0.9468926904382838,retain_with_protocol_metadata_note,single-feature Macro F1 > 0.80; discriminative metadata
IoT-23,strict_audited_metadata_main,strict,orig_ip_bytes,legitimate_metadata_retained,0.8972895248897361,retain_in_audited_metadata_main,single-feature Macro F1 > 0.80; discriminative metadata
IoT-23,strict_audited_metadata_main,strict,proto,suspicious_protocol_metadata_retained,0.9468926904382838,retain_with_protocol_metadata_note,single-feature Macro F1 > 0.80; discriminative metadata
MQTTEEB-D_flow_10s,full_audited_metadata_main,full,packet_count,legitimate_metadata_retained,0.8873244731114778,retain_in_audited_metadata_main,single-feature Macro F1 > 0.80; discriminative metadata
MQTTEEB-D_flow_10s,full_audited_metadata_main,full,byte_sum,legitimate_metadata_retained,0.8866551204402777,retain_in_audited_metadata_main,single-feature Macro F1 > 0.80; discriminative metadata
MQTTEEB-D_flow_10s,full_audited_metadata_main,full,byte_mean,legitimate_metadata_retained,0.8799245845922757,retain_in_audited_metadata_main,single-feature Macro F1 > 0.80; discriminative metadata
MQTTEEB-D_flow_10s,full_audited_metadata_main,full,byte_std,legitimate_metadata_retained,0.8873036321701187,retain_in_audited_metadata_main,single-feature Macro F1 > 0.80; discriminative metadata
MQTTEEB-D_flow_10s,full_audited_metadata_main,full,byte_min,legitimate_metadata_retained,0.844214932316332,retain_in_audited_metadata_main,single-feature Macro F1 > 0.80; discriminative metadata
MQTTEEB-D_flow_10s,full_audited_metadata_main,full,byte_max,legitimate_metadata_retained,0.8402204434013663,retain_in_audited_metadata_main,single-feature Macro F1 > 0.80; discriminative metadata
MQTTEEB-D_flow_10s,full_audited_metadata_main,full,duration,legitimate_metadata_retained,0.8873244731114778,retain_in_audited_metadata_main,single-feature Macro F1 > 0.80; discriminative metadata
MQTTEEB-D_flow_10s,full_audited_metadata_main,full,packets_per_second,legitimate_metadata_retained,0.886612395085125,retain_in_audited_metadata_main,single-feature Macro F1 > 0.80; discriminative metadata
MQTTEEB-D_flow_10s,full_audited_metadata_main,full,bytes_per_second,legitimate_metadata_retained,0.8872823937497973,retain_in_audited_metadata_main,single-feature Macro F1 > 0.80; discriminative metadata
MQTTEEB-D_flow_10s,full_audited_metadata_main,full,iat_mean,legitimate_metadata_retained,0.8873244731114778,retain_in_audited_metadata_main,single-feature Macro F1 > 0.80; discriminative metadata
MQTTEEB-D_flow_10s,full_audited_metadata_main,full,iat_std,legitimate_metadata_retained,0.875533119390959,retain_in_audited_metadata_main,single-feature Macro F1 > 0.80; discriminative metadata
