dataset,policy,view_role,view,task,model,split_type,n_train,n_val,n_test,n_features,seed,status,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,roc_auc,pr_auc,training_time_seconds,inference_time_per_sample_seconds,feature_family
MQTT-IoT-IDS2020,audited_metadata_main,strict,strict_audited_metadata_main,binary,Isolation Forest,random_stratified,181565.0,38907.0,38907.0,15,42,ok,0.8280515074408205,0.8070934256055363,0.8816222528930884,0.8133567133802948,0.8370565612344374,0.9518314577749732,0.8610170972647918,0.4471618999959901,3.72776544066862e-05,byte_statistics_only
MQTT-IoT-IDS2020,audited_metadata_main,strict,strict_audited_metadata_main,binary,Logistic Regression,random_stratified,181565.0,38907.0,38907.0,12,42,ok,0.8357107975428586,0.9077606857340761,0.6999061032863849,0.7348124954324078,0.8088370966765724,0.9764461105736233,0.9171000115098779,0.5830983000050765,2.5967049651226313e-07,iat_statistics_only
MQTT-IoT-IDS2020,audited_metadata_main,strict,strict_audited_metadata_main,binary,Random Forest,random_stratified,181565.0,38907.0,38907.0,12,42,ok,0.9584650577016989,0.934354466953973,0.9708202429710798,0.9499716512682235,0.959300040456309,0.9829512966249919,0.9220866979005677,2.414119399996707,1.4041098002014994e-06,iat_statistics_only
MQTT-IoT-IDS2020,audited_metadata_main,strict,strict_audited_metadata_main,binary,Extra Trees,random_stratified,181565.0,38907.0,38907.0,12,42,ok,0.9584136530701416,0.9342833349536586,0.9707848535100614,0.9499122904707252,0.9592505830209732,0.9828368407944452,0.9220662596663411,0.7964734999986831,1.6217081758171435e-06,iat_statistics_only
MQTT-IoT-IDS2020,audited_metadata_main,strict,strict_audited_metadata_main,binary,HistGradientBoostingClassifier,random_stratified,181565.0,38907.0,38907.0,12,42,ok,0.9580281183334618,0.9336939693175446,0.9706657006839138,0.9494801323915665,0.9588843056281918,0.9831118468131457,0.9224281633649447,2.6948313000029884,1.2810239802218625e-06,iat_statistics_only
MQTT-IoT-IDS2020,audited_metadata_main,strict,strict_audited_metadata_main,binary,Isolation Forest,random_stratified,181565.0,38907.0,38907.0,12,42,ok,0.7901405916673092,0.7541121387237912,0.6705810999343551,0.6903635153880117,0.7699059849184651,0.9201384708197279,0.7908900336111191,0.5065509999985807,3.3441259927638956e-05,iat_statistics_only
MQTT-IoT-IDS2020,audited_metadata_main,strict,strict_audited_metadata_main,binary,Logistic Regression,random_stratified,181565.0,38907.0,38907.0,3,42,ok,0.938905595394145,0.9087664082290627,0.9579396255795024,0.9278500446171571,0.9406310743302514,0.9820056653044217,0.9196188534412432,0.4898286000097869,1.0717351629874897e-07,rate_features_only
MQTT-IoT-IDS2020,audited_metadata_main,strict,strict_audited_metadata_main,binary,Random Forest,random_stratified,181565.0,38907.0,38907.0,3,42,ok,0.9585678669648136,0.9344737397089273,0.9709495291457133,0.9500954838145892,0.9594007829304271,0.9827062619906721,0.9217114756260174,1.7914730999909807,1.378535996133515e-06,rate_features_only
MQTT-IoT-IDS2020,audited_metadata_main,strict,strict_audited_metadata_main,binary,Extra Trees,random_stratified,181565.0,38907.0,38907.0,3,42,ok,0.9584650577016989,0.9343429660469962,0.9708494965973782,0.9499742035851002,0.9593009531284875,0.9824960552381304,0.92112909629605,0.49755139999615494,1.519281877110631e-06,rate_features_only
MQTT-IoT-IDS2020,audited_metadata_main,strict,strict_audited_metadata_main,binary,HistGradientBoostingClassifier,random_stratified,181565.0,38907.0,38907.0,3,42,ok,0.9581823322281338,0.9339293599171238,0.9707133618143728,0.9496529355679685,0.9590307978756698,0.983063762006041,0.922129541963493,1.942494799994165,1.0775490269521337e-06,rate_features_only
MQTT-IoT-IDS2020,audited_metadata_main,strict,strict_audited_metadata_main,binary,Isolation Forest,random_stratified,181565.0,38907.0,38907.0,3,42,ok,0.7504305137892924,0.7615422396856582,0.8281841667551404,0.7397071503850883,0.7636157561161029,0.8480333843905229,0.6826932734334843,0.24144280000473373,3.2660829670688524e-05,rate_features_only
