dataset,task,view,model,split_type,status,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,roc_auc,pr_auc,training_time_seconds,inference_time_per_sample_seconds,n_train,n_val,n_test,n_features,seed,random_stratified_macro_f1,macro_f1_delta_vs_random
MQTTEEB-D,binary,strict_encrypted_flow_safe,Random Forest,time_block_split,ok,0.8251063319954471,0.5956659705206483,0.7192097369815342,0.6141891909556851,0.8583865533586181,0.7338080328614826,0.9643012689199962,2.0875401999946916,2.245914454913959e-06,155796,33385,33386,2,42,0.6372974072076735,-0.023108216251988334
MQTTEEB-D,binary,strict_encrypted_flow_safe,Extra Trees,time_block_split,ok,0.8149523752471096,0.5899965086632061,0.7148906071200174,0.605232469118903,0.8515460598620667,0.7332716279284296,0.9649483446107552,0.5905428999976721,2.0724375486057396e-06,155796,33385,33386,2,42,0.628938188747889,-0.023705719628985933
MQTTEEB-D,binary,strict_encrypted_flow_safe,HistGradientBoostingClassifier,time_block_split,ok,0.8359192475888096,0.6026887047669458,0.724651641687334,0.6245533525924452,0.8657045413747244,0.7602537772281093,0.9728997054415806,1.3419441000005463,1.177349787309006e-06,155796,33385,33386,2,42,0.6449887037675468,-0.020435351175101646
MQTTEEB-D,multiclass,strict_encrypted_flow_safe,Logistic Regression,random_stratified,ok,0.45345354340142574,0.3476343116365255,0.33297595207599623,0.2785511289196526,0.41571706179444035,,,1.8120292999956291,3.766518900104977e-07,155796,33385,33386,2,42,0.2785511289196526,0.0
MQTTEEB-D,multiclass,strict_encrypted_flow_safe,Random Forest,random_stratified,ok,0.4835859342239262,0.5835578303718166,0.5861789282926744,0.5325189584013067,0.5015377520662113,,,2.285920000009355,3.310306715406433e-06,155796,33385,33386,2,42,0.5325189584013067,0.0
MQTTEEB-D,multiclass,strict_encrypted_flow_safe,Extra Trees,random_stratified,ok,0.4799017552267417,0.5832709085919806,0.5864906619718125,0.5307355355547857,0.49779894658629015,,,0.7025206999969669,2.916662673063123e-06,155796,33385,33386,2,42,0.5307355355547857,0.0
MQTTEEB-D,multiclass,strict_encrypted_flow_safe,HistGradientBoostingClassifier,random_stratified,ok,0.4604325166237345,0.5618391369609879,0.5815998412910285,0.5115905007013332,0.4800265359647495,,,10.50571920000948,8.270194093656297e-06,155796,33385,33386,2,42,0.5115905007013332,0.0
MQTTEEB-D,multiclass,strict_encrypted_flow_safe,Logistic Regression,time_block_split,ok,0.5175822200922542,0.34662894971483627,0.3472773189771823,0.2935102074371861,0.4959118169660715,,,2.156760000012582,4.673126463714492e-07,155796,33385,33386,2,42,0.2785511289196526,0.014959078517533475
MQTTEEB-D,multiclass,strict_encrypted_flow_safe,Random Forest,time_block_split,ok,0.4948181872641227,0.5309568242949037,0.5613434235224087,0.4851438080475141,0.5284427750745013,,,2.1244388000050094,2.7923141440312703e-06,155796,33385,33386,2,42,0.5325189584013067,-0.04737515035379258
MQTTEEB-D,multiclass,strict_encrypted_flow_safe,Extra Trees,time_block_split,ok,0.4898759959264362,0.5310981751412088,0.5609014773622809,0.48323488366031114,0.5236819761081221,,,0.6366863000002922,2.968795303394128e-06,155796,33385,33386,2,42,0.5307355355547857,-0.047500651894474555
MQTTEEB-D,multiclass,strict_encrypted_flow_safe,HistGradientBoostingClassifier,time_block_split,ok,0.47864374288623973,0.4856833847268627,0.5593336825278313,0.45827558561269904,0.5042375378534656,,,7.487686500011478,5.914368298172695e-06,155796,33385,33386,2,42,0.5115905007013332,-0.05331491508863412
MQTT-IoT-IDS2020,binary,full_feature_safe,Logistic Regression,random_stratified,ok,0.943403500655409,0.9638530483600907,0.8966197183098592,0.9235987069565805,0.9412019682345487,0.9036335140521913,0.8913191448397793,1.306750200004899,3.1766006084403223e-07,181565,38907,38907,14,42,0.9235987069565805,0.0
MQTT-IoT-IDS2020,binary,full_feature_safe,Random Forest,random_stratified,ok,0.971521834117254,0.962812500732511,0.965825932699214,0.9643043112235203,0.9715680394653019,0.9952298047050039,0.987669656365148,2.866243399999803,2.0841853647886425e-06,181565,38907,38907,14,42,0.9643043112235203,0.0
MQTT-IoT-IDS2020,binary,full_feature_safe,Extra Trees,random_stratified,ok,0.9704166345387719,0.9626364330007595,0.9629880518201398,0.9628120405029136,0.9704222534840069,0.9922339588960549,0.9874353055786188,1.1396279000036884,2.2969131518789576e-06,181565,38907,38907,14,42,0.9628120405029136,0.0
MQTT-IoT-IDS2020,binary,full_feature_safe,HistGradientBoostingClassifier,random_stratified,ok,0.9742976842213483,0.9587655856119848,0.9795554286187094,0.9684115053327245,0.9745822675650554,0.9981151257380904,0.9950448251256042,2.4641278000053717,1.1675688179895531e-06,181565,38907,38907,14,42,0.9684115053327245,0.0
MQTT-IoT-IDS2020,binary,full_feature_safe,Logistic Regression,time_block_split,failed: ValueError('split has fewer than two classes in train or test'),,,,,,,,,,181565,38906,38908,14,42,0.9235987069565805,
MQTT-IoT-IDS2020,binary,full_feature_safe,Random Forest,time_block_split,failed: ValueError('split has fewer than two classes in train or test'),,,,,,,,,,181565,38906,38908,14,42,0.9643043112235203,
MQTT-IoT-IDS2020,binary,full_feature_safe,Extra Trees,time_block_split,failed: ValueError('split has fewer than two classes in train or test'),,,,,,,,,,181565,38906,38908,14,42,0.9628120405029136,
MQTT-IoT-IDS2020,binary,full_feature_safe,HistGradientBoostingClassifier,time_block_split,failed: ValueError('split has fewer than two classes in train or test'),,,,,,,,,,181565,38906,38908,14,42,0.9684115053327245,
MQTT-IoT-IDS2020,multiclass,full_feature_safe,Logistic Regression,random_stratified,ok,0.473179633484977,0.7947596678960535,0.8122472392850965,0.7126436453877909,0.5477633307862514,,,16.095655500001158,5.398180275881343e-07,181565,38907,38907,14,42,0.7126436453877909,0.0
MQTT-IoT-IDS2020,multiclass,full_feature_safe,Random Forest,random_stratified,ok,0.9706479553807799,0.9427236026340344,0.9457357467323867,0.9442104952646228,0.9708012034923743,,,2.803668900000048,2.499383144429834e-06,181565,38907,38907,14,42,0.9442104952646228,0.0
MQTT-IoT-IDS2020,multiclass,full_feature_safe,Extra Trees,random_stratified,ok,0.9696198627496337,0.9420026644693829,0.9408006685526557,0.9413985560344365,0.9695553006720641,,,1.1226453999988735,2.706271365044016e-06,181565,38907,38907,14,42,0.9413985560344365,0.0
MQTT-IoT-IDS2020,multiclass,full_feature_safe,HistGradientBoostingClassifier,random_stratified,ok,0.9667412033824248,0.9258848420341359,0.9871196374951436,0.948857553567494,0.9699791449873789,,,7.851839199996903,4.457714550070521e-06,181565,38907,38907,14,42,0.948857553567494,0.0
MQTT-IoT-IDS2020,multiclass,full_feature_safe,Logistic Regression,time_block_split,failed: ValueError('split has fewer than two classes in train or test'),,,,,,,,,,181565,38906,38908,14,42,0.7126436453877909,
MQTT-IoT-IDS2020,multiclass,full_feature_safe,Random Forest,time_block_split,failed: ValueError('split has fewer than two classes in train or test'),,,,,,,,,,181565,38906,38908,14,42,0.9442104952646228,
MQTT-IoT-IDS2020,multiclass,full_feature_safe,Extra Trees,time_block_split,failed: ValueError('split has fewer than two classes in train or test'),,,,,,,,,,181565,38906,38908,14,42,0.9413985560344365,
MQTT-IoT-IDS2020,multiclass,full_feature_safe,HistGradientBoostingClassifier,time_block_split,failed: ValueError('split has fewer than two classes in train or test'),,,,,,,,,,181565,38906,38908,14,42,0.948857553567494,
MQTT-IoT-IDS2020,binary,broker_side_safe,Logistic Regression,random_stratified,ok,0.9427866450767214,0.9634878456844799,0.8954929577464789,0.9227004110542854,0.9405322228040474,0.9129601954960348,0.9028655719092654,1.4782406000012998,5.720153183743542e-07,181565,38907,38907,11,42,0.9227004110542854,0.0
