dataset,policy,view_role,view,task,model,split_type,n_train,n_val,n_test,n_features,seed,status,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,roc_auc,pr_auc,training_time_seconds,inference_time_per_sample_seconds
MQTTEEB-D,audited_metadata_main,strict,strict_audited_metadata_main,binary,Random Forest,time_block_split,155796.0,33385.0,33386.0,2,42,ok,0.8247169472233871,0.5954233363809661,0.7189999445146976,0.6138206209830943,0.8581225423493218,0.7337710292284512,0.9643894812362936,1.7681732999917585,1.9977864972098145e-06
MQTTEEB-D,audited_metadata_main,strict,strict_audited_metadata_main,binary,Extra Trees,time_block_split,155796.0,33385.0,33386.0,2,42,ok,0.8149224225723357,0.5899795831589747,0.7148744692379532,0.6052053436989804,0.8515257363427355,0.7332711175334912,0.9649481996869004,0.5120162999955937,1.984083148329356e-06
MQTTEEB-D,audited_metadata_main,strict,strict_audited_metadata_main,binary,HistGradientBoostingClassifier,time_block_split,155796.0,33385.0,33386.0,2,42,ok,0.8359192475888096,0.6026887047669458,0.724651641687334,0.6245533525924452,0.8657045413747244,0.7602537772281093,0.9728997054415806,1.3650103000109084,1.1731833703412288e-06
MQTTEEB-D,audited_metadata_main,strict,strict_audited_metadata_main,binary,Isolation Forest,time_block_split,155796.0,33385.0,33386.0,2,42,ok,0.4115197987180255,0.5189710670254556,0.566626203093211,0.35165348678857755,0.5203059456297427,0.5488168111843219,0.9452865487379205,0.20028990000719205,2.975513987904622e-05
MQTTEEB-D,audited_metadata_main,strict,strict_audited_metadata_main,binary,MLP,all,,,,2,42,skipped_optional_too_slow_or_unstable,,,,,,,,,
MQTTEEB-D,audited_metadata_main,strict,strict_audited_metadata_main,multiclass,Logistic Regression,random_stratified,155796.0,33385.0,33386.0,2,42,ok,0.45345354340142574,0.3476343116365255,0.33297595207599623,0.2785511289196526,0.41571706179444035,,,2.1789778000093065,3.7473491861187635e-07
MQTTEEB-D,audited_metadata_main,strict,strict_audited_metadata_main,multiclass,Random Forest,random_stratified,155796.0,33385.0,33386.0,2,42,ok,0.48355598154915236,0.5839780750817777,0.586642399352678,0.53269644652256,0.5015713456571984,,,1.8341089000023203,2.4345683815901837e-06
MQTTEEB-D,audited_metadata_main,strict,strict_audited_metadata_main,multiclass,Extra Trees,random_stratified,155796.0,33385.0,33386.0,2,42,ok,0.4798718025519679,0.5831521032084955,0.586435346118289,0.5306646855872291,0.4977747168019225,,,0.5453951999952551,2.6150871621820464e-06
MQTTEEB-D,audited_metadata_main,strict,strict_audited_metadata_main,multiclass,HistGradientBoostingClassifier,random_stratified,155796.0,33385.0,33386.0,2,42,ok,0.4604325166237345,0.5618391369609879,0.5815998412910285,0.5115905007013332,0.4800265359647495,,,9.388747599994531,8.070406757114033e-06
MQTTEEB-D,audited_metadata_main,strict,strict_audited_metadata_main,multiclass,Logistic Regression,time_block_split,155796.0,33385.0,33386.0,2,42,ok,0.5175822200922542,0.34662894971483627,0.3472773189771823,0.2935102074371861,0.4959118169660715,,,2.560327999992296,4.605073982768318e-07
MQTTEEB-D,audited_metadata_main,strict,strict_audited_metadata_main,multiclass,Random Forest,time_block_split,155796.0,33385.0,33386.0,2,42,ok,0.49418918109387167,0.5308572649667875,0.5609867249806344,0.4847990532106941,0.5278400619763782,,,1.8440042000001995,2.7533936380250927e-06
MQTTEEB-D,audited_metadata_main,strict,strict_audited_metadata_main,multiclass,Extra Trees,time_block_split,155796.0,33385.0,33386.0,2,42,ok,0.4898759959264362,0.5310981751412088,0.5609014773622809,0.48323488366031114,0.5236819761081221,,,0.5474777000054019,2.6695261485976194e-06
MQTTEEB-D,audited_metadata_main,strict,strict_audited_metadata_main,multiclass,HistGradientBoostingClassifier,time_block_split,155796.0,33385.0,33386.0,2,42,ok,0.47864374288623973,0.4856833847268627,0.5593336825278313,0.45827558561269904,0.5042375378534656,,,7.934092700001202,5.330551728311339e-06
MQTTEEB-D,audited_metadata_main,strict,strict_audited_metadata_main,multiclass,MLP,all,,,,2,42,skipped_optional_too_slow_or_unstable,,,,,,,,,
